Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,21.812500,21.906250,21.281250,21.437500,13.865579,2691200
2000-01-04,21.250000,21.500000,21.218750,21.406250,13.845365,3370600
2000-01-05,21.468750,22.218750,21.218750,21.906250,14.168754,6213800
2000-01-06,22.312500,23.437500,22.218750,23.031250,14.896394,6081400
2000-01-07,23.031250,23.718750,22.843750,23.000000,14.876184,4113000
2000-01-10,23.000000,23.718750,22.843750,23.468750,15.179368,3156600
2000-01-11,23.218750,23.687500,23.187500,23.468750,15.179368,3176400
2000-01-12,23.218750,23.281250,22.906250,23.031250,14.896394,3013800
2000-01-13,23.156250,23.531250,22.906250,23.125000,14.957029,2002800
2000-01-14,23.500000,24.156250,23.375000,24.062500,15.563399,2989400
2000-01-18,23.843750,23.843750,22.718750,23.562500,15.240004,3040400
2000-01-19,23.500000,23.906250,22.687500,23.187500,14.997458,2004000
2000-01-20,23.312500,23.375000,22.562500,22.781250,14.734699,2164600
2000-01-21,22.781250,22.781250,21.906250,22.093750,14.290027,2659600
2000-01-24,22.125000,22.437500,21.906250,22.437500,14.512368,1653400
2000-01-25,22.437500,22.656250,21.437500,22.250000,14.391092,3080400
2000-01-26,22.312500,23.031250,22.281250,22.812500,14.754911,2465200
2000-01-27,22.875000,23.000000,22.625000,22.906250,14.815542,1466800
2000-01-28,22.687500,22.718750,22.000000,22.375000,14.471943,2606000
2000-01-31,22.312500,22.312500,21.750000,21.843750,14.128335,1826400
2000-02-01,21.812500,21.812500,21.140625,21.375000,13.825149,3139800
2000-02-02,21.875000,22.250000,21.281250,21.312500,13.784728,3168600
2000-02-03,21.343750,21.500000,20.187500,20.625000,13.340055,4060000
2000-02-04,20.250000,20.562500,19.906250,20.437500,13.218783,2953600
2000-02-07,20.437500,20.781250,20.031250,20.656250,13.360264,2017200
2000-02-08,20.875000,20.906250,18.125000,20.031250,12.956022,10296000
2000-02-09,20.093750,20.500000,19.812500,20.000000,12.935815,4098600
2000-02-10,20.000000,20.093750,18.562500,18.750000,12.127325,2402000
2000-02-11,18.937500,18.937500,17.968750,18.093750,11.702865,3009000
2000-02-14,18.156250,19.562500,17.843750,19.500000,12.612420,3117800
2000-02-15,20.000000,20.562500,19.812500,20.218750,13.077304,2621600
2000-02-16,20.343750,20.812500,19.500000,19.656250,12.713481,2736800
2000-02-17,20.000000,20.312500,19.750000,19.906250,12.875178,2028000
2000-02-18,19.781250,20.187500,18.968750,19.250000,12.450725,1174200
2000-02-22,19.125000,20.250000,19.000000,20.000000,12.935815,1886400
2000-02-23,19.750000,19.937500,19.125000,19.250000,12.450725,1308400
2000-02-24,19.125000,19.156250,18.093750,18.500000,11.965631,1469200
2000-02-25,18.375000,19.531250,18.250000,18.468750,11.945414,2246400
2000-02-28,18.343750,18.718750,18.281250,18.468750,11.945414,1822600
2000-02-29,18.500000,18.531250,17.781250,17.875000,11.561386,4101400
2000-03-01,17.937500,18.625000,17.406250,18.500000,11.965631,3712600
2000-03-02,17.500000,17.531250,17.000000,17.281250,11.177351,3581200
2000-03-03,17.218750,17.750000,16.968750,17.437500,11.278414,4530800
2000-03-06,17.406250,17.906250,17.031250,17.093750,11.056080,2483400
2000-03-07,17.093750,17.093750,15.156250,15.187500,9.823133,6393000
2000-03-08,15.500000,17.625000,15.500000,17.625000,11.399685,5782200
2000-03-09,17.750000,17.843750,17.437500,17.843750,11.541171,3835400
2000-03-10,17.968750,18.218750,17.531250,17.750000,11.480532,1321000
2000-03-13,17.781250,17.843750,17.156250,17.656250,11.419895,1525800
2000-03-14,17.968750,18.062500,17.250000,17.281250,11.177351,2147400
2000-03-15,17.281250,20.000000,17.093750,18.750000,12.127325,4763400
2000-03-16,19.000000,20.750000,19.000000,19.750000,12.774114,3794800
2000-03-17,19.750000,19.937500,18.937500,19.093750,12.349660,2753600
2000-03-20,19.093750,19.562500,18.906250,19.156250,12.390085,1378800
2000-03-21,18.625000,20.000000,18.625000,19.281250,12.470930,1823200
2000-03-22,19.250000,19.375000,18.687500,19.093750,12.349660,1387400
2000-03-23,19.031250,19.750000,18.812500,19.406250,12.551784,1578800
2000-03-24,19.406250,19.500000,18.750000,19.187500,12.410294,1828200
2000-03-27,18.812500,19.187500,18.781250,18.812500,12.167747,1169400
2000-03-28,18.562500,19.031250,18.187500,18.437500,11.925200,1722400
2000-03-29,18.187500,18.937500,18.062500,18.625000,12.118773,1565600
2000-03-30,18.656250,19.937500,18.250000,19.531250,12.708447,2151400
2000-03-31,19.500000,19.500000,19.000000,19.000000,12.362780,2154400
2000-04-03,19.000000,19.531250,18.343750,19.437500,12.647447,3520000
2000-04-04,19.562500,21.125000,19.062500,20.093750,13.074451,4191800
2000-04-05,19.750000,21.000000,19.750000,20.156250,13.115123,4099400
