Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,146.399994,146.649994,145.490005,146.089996,141.817780,2468100
2019-11-27,145.020004,145.720001,143.699997,145.690002,141.429489,2660200
2019-11-29,144.190002,145.460007,143.789993,144.729996,140.497559,1652500
2019-12-02,145.199997,146.039993,142.839996,142.960007,138.779343,2896200
2019-12-03,140.050003,140.429993,138.559998,140.059998,135.964142,3839600
2019-12-04,140.979996,142.279999,140.000000,140.119995,136.022400,2484600
2019-12-05,140.580002,141.119995,139.529999,141.050003,136.925186,2277700
2019-12-06,142.910004,143.419998,142.169998,142.720001,138.546356,2271400
2019-12-09,142.970001,143.279999,142.369995,142.830002,138.653137,1585100
2019-12-10,142.690002,143.589996,141.750000,142.869995,138.691956,1888900
2019-12-11,143.770004,144.619995,143.289993,144.000000,139.788925,2265700
2019-12-12,143.539993,147.399994,143.000000,146.779999,142.487640,3714100
2019-12-13,146.800003,148.399994,145.149994,145.529999,141.274155,3311700
2019-12-16,147.710007,148.300003,145.229996,145.360001,141.109146,2414800
2019-12-17,145.500000,146.990005,145.460007,146.369995,142.089615,2850800
2019-12-18,146.500000,147.300003,145.600006,147.119995,142.817657,2629500
2019-12-19,146.979996,146.979996,144.300003,145.020004,140.779083,3576800
2019-12-20,147.380005,147.770004,145.240005,147.570007,143.254532,6805400
2019-12-23,147.679993,148.529999,146.779999,148.500000,144.157303,2346500
2019-12-24,148.699997,148.800003,147.289993,147.479996,143.167160,966200
2019-12-26,147.899994,148.229996,146.990005,148.220001,143.885513,1576900
2019-12-27,148.639999,148.929993,147.990005,148.279999,143.943756,1544500
2019-12-30,148.419998,148.470001,147.009995,147.520004,143.205994,1789200
2019-12-31,147.429993,148.229996,146.789993,147.679993,143.361298,1952500
2020-01-02,149.000000,150.550003,147.979996,150.529999,146.127945,3311900
2020-01-03,148.770004,149.960007,147.449997,148.440002,144.099091,3100600
2020-01-06,147.270004,148.559998,146.539993,148.339996,144.001984,2549600
2020-01-07,147.350006,147.570007,145.509995,146.380005,142.099319,2841900
2020-01-08,146.830002,148.570007,146.460007,147.679993,143.361298,2153200
2020-01-09,147.809998,147.970001,146.509995,147.309998,143.002121,2272500
2020-01-10,147.449997,147.720001,145.830002,146.130005,141.856628,2393700
2020-01-13,146.529999,146.830002,145.550003,146.820007,142.526443,3355200
